brand_query,canonical_model,reports_total,reports_svd_like,years_covered,query_string,retrieved_at,caveat
Prima Plus valve,Prima Plus,1,1,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""Prima Plus valve"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
Toronto SPV,Toronto SPV,23,3,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""Toronto SPV"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
INTUITY Elite,INTUITY Elite,905,490,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""INTUITY Elite"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
Perceval,Perceval,1965,824,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""Perceval"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
Perceval Plus,Perceval Plus,283,124,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""Perceval Plus"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
Myval,Myval,0,0,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""Myval"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
SAPIEN,SAPIEN,30652,11466,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""SAPIEN"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
SAPIEN 3,SAPIEN 3,24201,8865,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""SAPIEN 3"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
SAPIEN 3 Ultra,SAPIEN 3 Ultra,9919,3517,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""SAPIEN 3 Ultra"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
SAPIEN 3 Ultra RESILIA,SAPIEN 3 Ultra RESILIA,4004,1117,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""SAPIEN 3 Ultra RESILIA"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
SAPIEN XT,SAPIEN XT,3216,1426,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""SAPIEN XT"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
JenaValve (Trilogy),JenaValve (Trilogy),0,0,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""JenaValve (Trilogy)"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
Lotus valve,Lotus,159,58,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""Lotus valve"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
Navitor,Navitor,3658,861,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""Navitor"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
Portico,Portico,516,126,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""Portico"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
ACURATE neo,ACURATE neo,0,0,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""ACURATE neo"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
ACURATE neo2,ACURATE neo2,2,0,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""ACURATE neo2"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
CoreValve,CoreValve,3680,1528,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""CoreValve"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
Evolut FX,Evolut FX,11305,1839,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""Evolut FX"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
Evolut FX+,Evolut FX+,11305,1839,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""Evolut FX+"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
Evolut PRO,Evolut PRO,10607,2672,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""Evolut PRO"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
Evolut PRO+,Evolut PRO+,10607,2672,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""Evolut PRO+"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
Evolut R,Evolut R,6454,2464,"MAUDE coverage varies by device/report type (device reports since 1996 mfr / 1991 user-facility / 1993 voluntary; not queried per-year this session, see caveat)","device.brand_name:""Evolut R"" AND product_problems:(calcified calcification stenosis regurgitation regurgitant backflow leak tear torn split deteriorated deterioration degraded degradation fracture deformation obstruction coaptation thrombosis thrombus thrombotic gradient)",2026-09-16T11:35:40Z,"reported counts, not incidence; passive surveillance, no denominator"
