valve_model,valve_model_clean,position,size_mm,n,mean_gradient_mmHg_mean,mean_gradient_sd,peak_velocity,peak_gradient_mmHg_mean,peak_gradient_mmHg_sd,eoa_cm2_mean,eoa_sd,dvi_mean,dvi_sd,canonical_model,source_table,source_page,confidence,source,retrieved_at
CoreValve,CoreValve,aortic,26,,8.27,3.82,,,,1.74,0.49,0.59,0.15,CoreValve,Table A1/A2,50,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
CoreValve,CoreValve,aortic,29,,8.85,4.17,,,,1.97,0.53,0.54,0.12,CoreValve,Table A1/A2,50,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
CoreValve,CoreValve,aortic,31,,9.55,3.44,,,,2.15,0.72,0.49,0.12,CoreValve,Table A1/A2,50,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
EvolutR(30d),Evolut R(30d),aortic,23,,14.97,7.15,,,,1.09,0.26,0.42,0.04,Evolut R,Table A1/A2,50,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
EvolutR(30d),Evolut R(30d),aortic,26,,7.53,2.65,,,,1.69,0.4,0.61,0.13,Evolut R,Table A1/A2,50,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
EvolutR(30d),Evolut R(30d),aortic,29,,7.85,3.08,,,,1.97,0.54,0.59,0.14,Evolut R,Table A1/A2,50,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
EvolutR(30d),Evolut R(30d),aortic,34,,6.3,3.23,,,,2.6,0.75,0.58,0.15,Evolut R,Table A1/A2,50,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
CoreValve (valve-in-valve),CoreValve (valve-in-valve),aortic (ViV),All,,12.89,0.2,,23.48,12.1,1.62,0.14,,,CoreValve,Table A3,51,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Evolut (valve-in-valve),Evolut (valve-in-valve),aortic (ViV),All,,14.7,9.11,,22.43,5.72,1.36,0.07,,,Evolut R,Table A3,51,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
SAPIEN 3 (valve-in-valve),SAPIEN 3 (valve-in-valve),aortic (ViV),All,,27.0,10.2,,33.93,10.11,1.07,0.32,,,SAPIEN 3,Table A3,51,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
SAPIEN XT (valve-in-valve),SAPIEN XT (valve-in-valve),aortic (ViV),All,,18.02,4.22,,31.31,3.75,1.31,0.25,,,SAPIEN XT,Table A3,51,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
AbbottEpic,Abbott Epic,aortic,21,,19.1,8.2,,,,1.0,0.3,,,Epic,Table A4,52,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
AbbottEpic,Abbott Epic,aortic,23,,13.9,6.0,,,,1.4,0.5,,,Epic,Table A4,52,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
AbbottEpic,Abbott Epic,aortic,25,,12.1,5.1,,,,1.5,0.5,,,Epic,Table A4,52,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
AbbottEpic,Abbott Epic,aortic,27,,11.4,4.1,,,,1.6,0.4,,,Epic,Table A4,52,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
AbbottEpic,Abbott Epic,aortic,29,,7.5,3.3,,,,2.4,1.1,,,Epic,Table A4,52,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Abbott,Abbott,aortic,19,,10.7,4.6,,,,1.41,0.24,,,,Table A4,52,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Abbott Trifecta,Abbott Trifecta,aortic,21,,8.1,3.5,,,,1.63,0.29,,,Trifecta,Table A4,52,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Abbott Trifecta,Abbott Trifecta,aortic,23,,7.2,2.8,,,,1.81,0.3,,,Trifecta,Table A4,52,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Abbott Trifecta,Abbott Trifecta,aortic,25,,6.2,2.7,,,,2.02,0.32,,,Trifecta,Table A4,52,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Abbott Trifecta,Abbott Trifecta,aortic,27,,4.8,2.0,,,,2.2,0.2,,,Trifecta,Table A4,52,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Abbott Trifecta,Abbott Trifecta,aortic,29,,4.7,1.6,,,,2.35,0.22,,,Trifecta,Table A4,52,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
ArborSurgicalTrilogy,Arbor Surgical Trilogy,aortic,21,,11.0,6.0,,21.0,8.0,1.9,0.2,,,,Table A4,52,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
ArborSurgicalTrilogy,Arbor Surgical Trilogy,aortic,23,,8.0,4.0,,15.0,7.0,2.0,0.3,,,,Table A4,52,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
ATS,ATS,aortic,19,,25.3,8.0,,47.0,12.6,1.1,0.3,,,,Table A4,52,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
ATS (Bileaflet),ATS (Bileaflet),aortic,21,,15.9,5.0,,23.7,6.8,1.4,0.5,,,,Table A4,52,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
ATS (Bileaflet),ATS (Bileaflet),aortic,23,,14.4,4.9,,,,1.7,0.5,,,,Table A4,52,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
ATS (Bileaflet),ATS (Bileaflet),aortic,25,,11.3,3.7,,,,2.1,0.7,,,,Table A4,52,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
ATS (Bileaflet),ATS (Bileaflet),aortic,27,,8.4,3.7,,,,2.5,0.1,,,,Table A4,52,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
ATS (Bileaflet),ATS (Bileaflet),aortic,29,,8.0,3.0,,,,3.1,0.8,,,,Table A4,52,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
ATSAP,ATSAP,aortic,18,,21.0,1.8,,,,1.2,0.3,,,,Table A4,52,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
ATSAP (Bileaflet),ATSAP (Bileaflet),aortic,20,,11.1,3.5,,21.4,4.2,1.3,0.3,,,,Table A4,52,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
ATSAP (Bileaflet),ATSAP (Bileaflet),aortic,22,,10.5,4.5,,18.7,8.3,1.7,0.4,,,,Table A4,52,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
ATSAP (Bileaflet),ATSAP (Bileaflet),aortic,24,,7.5,3.1,,15.1,5.6,2.0,0.6,,,,Table A4,52,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
ATSAP (Bileaflet),ATSAP (Bileaflet),aortic,26,,6.0,2.0,,,,2.1,0.4,,,,Table A4,52,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
ATS,ATS,aortic,21,,15.0,4.6,,27.0,8.4,1.1,0.4,,,,Table A4,52,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
ATS 3FEnable,ATS 3FEnable,aortic,22,,14.5,6.0,,25.7,10.8,1.4,0.4,,,,Table A4,52,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
ATS 3FEnable,ATS 3FEnable,aortic,25,,11.4,4.0,,20.3,7.4,1.6,0.5,,,,Table A4,52,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
ATS 3FEnable,ATS 3FEnable,aortic,27,,9.4,3.3,,16.8,6.3,1.9,0.5,,,,Table A4,52,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
ATS 3FEnable,ATS 3FEnable,aortic,29,,7.8,3.8,,14.3,6.7,2.4,0.8,,,,Table A4,52,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
BaxterPerimount,Baxter Perimount,aortic,19,,19.5,5.5,,32.5,8.5,1.3,0.2,,,Perimount,Table A4,52,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
BaxterPerimount (Stentedbovinepericardial),Baxter Perimount (Stentedbovinepericardial),aortic,21,,13.8,4.0,,24.9,7.7,1.3,0.3,,,Perimount,Table A4,52,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
BaxterPerimount (Stentedbovinepericardial),Baxter Perimount (Stentedbovinepericardial),aortic,23,,11.5,3.9,,19.9,7.4,1.6,0.3,,,Perimount,Table A4,52,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
BaxterPerimount (Stentedbovinepericardial),Baxter Perimount (Stentedbovinepericardial),aortic,25,,10.7,3.8,,16.5,7.8,1.6,0.4,,,Perimount,Table A4,52,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
BaxterPerimount (Stentedbovinepericardial),Baxter Perimount (Stentedbovinepericardial),aortic,27,,4.8,2.2,,12.8,5.4,2.0,0.4,,,Perimount,Table A4,52,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Biocor,Biocor,aortic,23,,20.0,6.6,,30.0,10.7,1.3,0.3,,,,Table A4,52,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Biocor (Stentedporcine),Biocor (Stentedporcine),aortic,25,,16.0,5.1,,23.0,7.9,1.7,0.4,,,,Table A4,52,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Biocor (Stentedporcine),Biocor (Stentedporcine),aortic,27,,15.0,3.7,,22.0,6.5,2.2,0.4,,,,Table A4,52,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
ExtendedBiocor,Extended Biocor,aortic,19-21,,9.6,3.6,,17.5,6.5,1.4,0.4,,,,Table A4,52,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
ExtendedBiocor (Stentless),Extended Biocor (Stentless),aortic,23,,7.7,3.8,,14.7,7.3,1.7,0.4,,,,Table A4,52,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
ExtendedBiocor (Stentless),Extended Biocor (Stentless),aortic,25,,7.4,2.5,,14.0,4.3,1.8,0.4,,,,Table A4,52,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Bioflo,Bioflo,aortic,19,,26.4,5.5,,37.2,8.8,0.7,0.1,,,,Table A4,53,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Bioflo (Stentedbovinepericardial),Bioflo (Stentedbovinepericardial),aortic,21,,18.7,5.5,,28.7,6.2,1.1,0.1,,,,Table A4,53,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Bjork-Shiley,Bjork-Shiley,aortic,21,,21.8,3.4,,38.9,11.9,1.1,0.3,,,,Table A4,53,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Bjork-Shiley (Singletiltingdisk),Bjork-Shiley (Singletiltingdisk),aortic,23,,15.7,5.3,,28.8,11.2,1.3,0.3,,,,Table A4,53,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Bjork-Shiley (Singletiltingdisk),Bjork-Shiley (Singletiltingdisk),aortic,25,,13.0,5.0,,23.7,8.2,1.5,0.4,,,,Table A4,53,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Bjork-Shiley (Singletiltingdisk),Bjork-Shiley (Singletiltingdisk),aortic,27,,10.0,2.0,,,,1.6,0.3,,,,Table A4,53,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
