canonical_model,manufacturer,brand_name_gudid,model_or_catalog_number,primary_di,product_code,route,design_class,tissue,leaflet_mounting,tissue_treatment,generation,sizes_mm,market_status,fda_pma,source,confidence,retrieved_at
Magna Ease,Edwards Lifesciences,CARPENTIER-EDWARDS PERIMOUNT MAGNA EASE PERICARDIAL BIOPROSTHESIS - AORTIC,3300TFX,00690103176124;00690103176131;00690103176148;00690103176155;00690103176162;00690103176179,SAVR,SAVR,"stented bovine pericardial, internally mounted",bovine pericardial,internal,ThermaFix,"3rd-generation Perimount platform, easier-implant delivery (~2009); ThermaFix tissue process confirmed in GUDID brand text",19;21;23;25;27;29,active,P860057,"FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov) ; openFDA PMA lookup: supplement to original Perimount PMA, verified 2026-09-16",high,2026-09-16T17:43:44Z
Perimount,Edwards Lifesciences,CARPENTIER-EDWARDS BIOPROSTHESIS - AORTIC;CARPENTIER-EDWARDS PERIMOUNT BIOPROSTHESIS AORTIC;CARPENTIER-EDWARDS PERIMOUNT PERICARDIAL BIOPROSTHESIS - AORTIC;CARPENTIER-EDWARDS PERIMOUNT RSR PERICARDIAL AORTIC BIOPROSTHESIS;CARPENTIER-EDWARDS PERIMOUNT RSR PERICARDIAL BIOPROSTHESIS – AORTIC;CARPENTIER-EDWARDS PERIMOUNT RSRPERICARDIAL BIOPROSTHESIS - AORTIC;CARPENTIER-EDWARDS PERIMOUNT THEON PERICARDIAL BIOPROSTHESIS - AORTIC;CARPENTIER-EDWARDS Perimount Pericardial Aortic Prosthesis;CARPENTIER-EDWARDS S.A.VBIOPROSTHESIS - AORTIC,2625;2650;2700;2700TFX;2800;2800TFX;3000,00690103021516;00690103021523;00690103021530;00690103021547;00690103021554;00690103021561;00690103021578;00690103021585;00690103021592;00690103021608;00690103021615;00690103021622;00690103021639;00690103021646;00690103021653;00690103021660;00690103021677;00690103021684;00690103021691;00690103146875;00690103146882;00690103146899;00690103146905;00690103162240;00690103162271;00690103177169;00690103177176;00690103177183;00690103177190;00690103177206;00690103177213;00690103177220;00690103177237;00690103177244;00690103177251;00690103177268;00690103177275;00690103194012;00690103194029;00690103194036;00690103194043;00690103194050;00690103194067;00690103194074;00690103194081;00690103194098;00690103194104;00690103194128,SAVR,SAVR,"stented bovine pericardial, internally mounted",bovine pericardial,internal,none,"1984-2000s legacy platform (incl. RSR, Theon variants)",19;21;23;25;27;29;31,active (legacy variants largely superseded by Magna/Magna Ease; base Perimount aortic still GUDID-listed in commercial distribution),P860057,"FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov) ; openFDA PMA lookup: openFDA /device/pma.json trade_name:perimount, verified 2026-09-16; 1986 approval predates electronic SSED archive",high,2026-09-16T17:43:44Z
Epic,Abbott (St. Jude Medical),Epic™,Aortic;E100-21A-00;E100-23A-00;E100-27A-00;E100-29A-00;E200-21A;E200-23A;E200-25A;E200-27A;E200-29A;EELT-19A;EELT-21A;EELT-23A;EELT-25A;EELT-27A;EMAX-19;EMAX-21;EMAX-23;EMAX-25;ESP100-19-00;ESP100-21-00;ESP100-23-00;ESP100-25-00;ESP100-27-00;ESP200-19;ESP200-21;ESP200-23;ESP200-25;ESP200-27;ESP300-19;ESP300-21;ESP300-23;ESP300-25;ESP300-27,05414734055529;05414734055536;05414734055543;05414734055567;05414734055581;05414734055628;05414734055635;05414734055642;05414734055659;05414734055666;05415067033017;05415067033024;05415067033031;05415067033055;05415067033079;05415067033116;05415067033123;05415067033130;05415067033147;05415067033154;05415067045447;05415067045454;05415067045461;05415067045478;05415067052742;05415067052759;05415067052797;05415067052803;05415067052810;05415067052834;05415067052858;05415067052865;05415067052889;05415067052902,unknown,SAVR,stented porcine,porcine aortic,internal,Linx,standard stented porcine platform (Linx AC treatment per Abbott labeling),15;16;17;19;20.8;21;22.6;23;24.5;25;26.3;27;29,active,TODO,FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov),medium,2026-09-16T17:43:44Z
Epic Supra,Abbott (St. Jude Medical),,,,unknown,SAVR,stented porcine,porcine aortic,internal,Linx,supra-annular stented porcine variant of Epic,,active,TODO,domain knowledge (industry/regulatory public record); NOT found in this session's GUDID brand-name match -- verify manually at accessgudid.nlm.nih.gov if a DI list is required (FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov)),low,2026-09-16T17:43:44Z
Hancock II,Medtronic,HANCOCK® II,T505C221;T505C223;T505C225;T505C227;T505C229;T505U221;T505U223,00613994760531;00613994760548;00613994760555;00613994760562;00613994760579;00643169000315;00643169000339;00643169000353;00643169000377;00643169000391;00643169000414;00643169000438;00643169534032;00643169534049;00643169534056;00643169534063;00643169534070;00643169594241;00643169594258;00643169594265;00643169594272;00643169594289;00643169594296;00643169594302;00643169594319;00643169594326;00643169594333,SAVR,SAVR,stented porcine,porcine aortic,internal,none,standard Hancock II platform,21;23;25;27;29,active,TODO,FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov),medium,2026-09-16T17:43:44Z
Hancock II Ultra,Medtronic,HANCOCK II ULTRA®,T505U221;T505U223;T505U225;T505U227;T505U229,00613994772718;00613994772725;00613994772732;00613994772749;00613994772756;00643169000254;00643169000278;00643169000292;00643169534087;00643169534094;00643169534100;00643169534117;00643169534124;00643169594524;00643169594531;00643169594548;00643169594555;00643169594562;00643169594579;00643169594586;00643169594593;00643169594609;00643169594616,SAVR,SAVR,stented porcine,porcine aortic,internal,Linx,Hancock II with Linx AC anticalcification treatment,21;23;25;27;29,active,TODO,FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov),medium,2026-09-16T17:43:44Z
Mosaic,Medtronic,MOSAIC®,305C19;305C21;305C219;305C221;305C223;305C225;305C227;305C229;305C23;305C25;305C27;305C29,00613994479013;00613994479020;00613994479105;00613994479112;00613994479129;00613994479136;00613994760685;00613994760692;00613994760708;00613994760715;00613994760722;00613994760739;00613994760746;00613994760760;00643169001671;00643169001695;00643169001701;00643169001725;00643169001732;00643169001756;00643169001763;00643169001787;00643169001794;00643169001954;00643169594678;00643169594685;00643169594692;00643169594708;00643169594715;00643169594722;00643169594739;00643169594746;00643169594753;00643169594760;00721902694721;00721902694738;00721902694745;00721902694752;00721902694769;00721902694776;00885074133102;00885074133126;00885074133133,unknown,SAVR,stented porcine,porcine aortic,internal,none,standard Mosaic platform (~2000),19;21;23;25;27;29,discontinued (superseded by Mosaic Ultra; not independently re-verified this session),TODO,FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov),medium,2026-09-16T17:43:44Z
Mosaic Ultra,Medtronic,MOSAIC ULTRA®,305U19;305U21;305U219;305U221;305U223;305U225;305U227;305U229;305U23;305U25;305U27;305U29,00613994479211;00613994479228;00613994479235;00613994479242;00613994479259;00613994479365;00613994760586;00613994760593;00613994760609;00613994760616;00613994760623;00613994760630;00613994760647;00613994760661;00643169001480;00643169001503;00643169001527;00643169001534;00643169001558;00643169001664;00643169001831;00643169001848;00643169001862;00643169001879;00643169594937;00643169594944;00643169594951;00643169594968;00643169594975;00643169594982;00643169594999;00643169595002;00643169595019;00643169595026;00885074253213;00885074253220;00885074253244;00885074253251;00885074253268;00885074253275;00885074253305,unknown,SAVR,stented porcine,porcine aortic,internal,Linx,Mosaic with Linx AC anticalcification treatment,19;21;23;25;27;29,active,TODO,FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov),medium,2026-09-16T17:43:44Z
Freestyle,Medtronic,FREESTYLE®,995CS19;995CS21;995CS23;995CS25;995CS27;995MS19;995MS21;995MS23;995MS25;995MS27;995MS29;FR995-19;FR995-21;FR995-23;FR995-25;FR995-27;FR995-29;FR99525,00613994348975;00613994348982;00643169002012;00643169002036;00643169002050;00643169002074;00643169002098;00643169002111;00643169002135;00643169002159;00643169002173;00643169002197;00643169002227;00643169002241;00643169002265;00643169002289;00643169002302;00643169002395;00643169002418;00643169008137;00643169008144;00681490219037;00681490219075;00681490219112;00681490219150;00681490219198;00681490265898;00681490265904;00681490265942;00681490816465;00721902316142;00721902316159;00721902316166;00721902316173;00721902316180;00721902316197;10681490265888;10681490265918,unknown,SAVR,stentless,porcine aortic (full root),n.a.,none,"stentless full-root/subcoronary/root-inclusion platform, FDA approved 1997",19;21;23;25;27;29,active,P970031,"FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov) ; openFDA PMA lookup: openFDA /device/pma.json trade_name:freestyle, verified 2026-09-16; approved 1997-11-26",high,2026-09-16T17:43:44Z
Prima Plus,Edwards Lifesciences,EDWARDS PRIMA PLUS STENTLESS BIOPROSTHESIS - AORTIC,2500P,00690103144116;00690103144123;00690103144130;00690103144147;00690103144154;00690103144161,SAVR,SAVR,stentless,porcine aortic (full root),n.a.,none,"stentless subcoronary/full-root platform, GUDID brand 'Edwards Prima Plus Stentless Bioprosthesis'; not in the task's original bucket list, added because real GUDID DIs from a target manufacturer were found for it this session",19;21;23;25;27;29,active (not independently re-verified this session; bonus row beyond the task's minimum model list),TODO,FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov),medium,2026-09-16T17:43:44Z
Toronto SPV,Abbott (St. Jude Medical),,,,unknown,SAVR,stentless,porcine aortic,n.a.,none,legacy first-generation stentless platform,,"discontinued (legacy product, exact discontinuation year not verified this session)",TODO,domain knowledge (industry/regulatory public record); NOT found in this session's GUDID brand-name match -- verify manually at accessgudid.nlm.nih.gov if a DI list is required (FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov)),low,2026-09-16T17:43:44Z
INTUITY Elite,Edwards Lifesciences,EDWARDS INTUITY ELITE AORTIC VALVE;EDWARDS INTUITY ELITE VALVE SYSTEM,8300AB;8300KITB19;8300KITB21;8300KITB23;8300KITB25;8300KITB27,00690103194470;00690103194487;00690103194494;00690103194500;00690103194517;00690103194524;00690103194531;00690103194548;00690103194555;00690103194562,unknown,SAVR,sutureless or rapid-deployment,bovine pericardial,internal,none,balloon-expandable-skirt rapid-deployment platform (Perimount-family leaflets),19;21;23;25;27,active,P150036,"FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov) ; openFDA PMA lookup: openFDA /device/pma.json trade_name:intuity, verified 2026-09-16",high,2026-09-16T17:43:44Z
Perceval,Corcym (formerly Sorin/LivaNova),PERCEVAL,PVS21;PVS23;PVS25;PVS27,00896208000412;00896208000429;00896208000436;00896208000443;08022057014696;08022057014702;08022057014719;08022057014726,unknown,SAVR,sutureless or rapid-deployment,bovine pericardial,n.a.,none,"sutureless self-expanding nitinol stent platform, FDA approved 2016",21;23;25;27,active,P150011,"FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov) ; openFDA PMA lookup: openFDA /device/pma.json trade_name:perceval, verified 2026-09-16; original approval 2016-01-08",high,2026-09-16T17:43:44Z
Perceval Plus,Corcym (formerly Sorin/LivaNova),PERCEVAL PLUS,PVF-L;PVF-M;PVF-S;PVF-XL,00896208000795;00896208000801;00896208000818;00896208000825;08022057015365;08022057015372;08022057015389;08022057015396,unknown,SAVR,sutureless or rapid-deployment,bovine pericardial,n.a.,none,expanded-size-range Perceval variant,,active,P150011,"FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov) ; openFDA PMA lookup: same PMA as Perceval (Plus is a supplement), verified 2026-09-16",high,2026-09-16T17:43:44Z
Myval,Meril Life Sciences,,,,unknown,TAVR,balloon-expandable intra-annular TAVR,bovine pericardial,n.a.,unknown,"balloon-expandable TAVR, hybrid honeycomb cobalt-nickel frame",,active outside US (CE-marked; NOT FDA approved -- not a US market device),TODO,domain knowledge (industry/regulatory public record); NOT found in this session's GUDID brand-name match -- verify manually at accessgudid.nlm.nih.gov if a DI list is required (FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov)),low,2026-09-16T17:43:44Z
SAPIEN,Edwards Lifesciences,EDWARDS SAPIEN TRANSCATHETER HEART VALVE (THV),9000TFX,00690103187816;00690103187823,TAVR,TAVR,balloon-expandable intra-annular TAVR,bovine pericardial,n.a.,none,1st-generation TAVR (FDA approved 2011),23;26,discontinued (superseded by SAPIEN XT/3; year not independently re-verified this session),TODO,FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov),medium,2026-09-16T17:43:44Z
SAPIEN 3,Edwards Lifesciences,EDWARDS SAPIEN 3 TRANSCATHETER HEART VALVE (THV),9600TFX,00690103194005;00690103194340;00690103194357;00690103194364,TAVR,TAVR,balloon-expandable intra-annular TAVR,bovine pericardial,n.a.,none,"3rd-generation TAVR, outer sealing skirt added (FDA approved 2015)",20;23;26;29,active,P140031,"FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov) ; openFDA PMA lookup: per task brief URL, SSED downloaded 2026-09-16",high,2026-09-16T17:43:44Z
SAPIEN 3 Ultra,Edwards Lifesciences,Edwards SAPIEN 3 Ultra Transcatheter Heart Valve;SAPIEN 3 Ultra System,9750CM20;9750CM23;9750CM26;9750TFX20;9750TFX23;9750TFX26,00690103201314;00690103201321;00690103201338;00690103207811;00690103207828;00690103207835,TAVR,TAVR,balloon-expandable intra-annular TAVR,bovine pericardial,n.a.,none,SAPIEN 3 with taller outer skirt,20;23;26,active,P140031,"FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov) ; openFDA PMA lookup: supplement to P140031, SSED supplement downloaded 2026-09-16",high,2026-09-16T17:43:44Z
SAPIEN 3 Ultra RESILIA,Edwards Lifesciences,SAPIEN 3 Ultra RESILIA,9755RSL20;9755RSL23;9755RSL26;9755RSL29,00690103215793;00690103215809;00690103215816;00690103215823,TAVR,TAVR,balloon-expandable intra-annular TAVR,bovine pericardial,n.a.,RESILIA,newest SAPIEN 3 Ultra variant using RESILIA tissue,20;23;26;29,active,P140031,FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov) ; openFDA PMA lookup: supplement to P140031 (labeling supplement S182 downloaded 2026-09-16),high,2026-09-16T17:43:44Z
SAPIEN XT,Edwards Lifesciences,EDWARDS SAPIEN XT TRANSCATHETER HEART VALVE (THV),9300TFX,00690103192070;00690103192087;00690103193176,TAVR,TAVR,balloon-expandable intra-annular TAVR,bovine pericardial,n.a.,none,2nd-generation TAVR,23;26;29,discontinued (superseded by SAPIEN 3; year not independently re-verified this session),TODO,FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov),medium,2026-09-16T17:43:44Z
Lotus,Boston Scientific,LOTUS Edge™ Valve System,H749LVSUS230;H749LVSUS250;H749LVSUS270,08714729960904;08714729960911;08714729960928,TAVR,TAVR,mechanically expanded intra-annular TAVR,bovine pericardial,n.a.,unknown,"mechanically-expanded (not fully self-expanding), fully repositionable before release, Adaptive Seal (Lotus Edge FDA approved 2019)",23;25;27,"discontinued (Boston Scientific withdrew the full Lotus platform globally ~2020-2021 for business reasons, not independently re-verified this session)",TODO,FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov),medium,2026-09-16T17:43:44Z
JenaValve (Trilogy),JenaValve Technology,Trilogy Transcatheter Heart Valve,TRILOGY-THV-L;TRILOGY-THV-M;TRILOGY-THV-S,00850000898103;00850000898110;00850000898127;00850000898202;00850000898219;00850000898226,TAVR,TAVR,self-expanding intra-annular TAVR,porcine pericardial,n.a.,unknown,locator-and-clip anatomical-fixation design; first TAVR FDA-approved for pure native aortic regurgitation (2023),23;25;27,active,TODO,FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov),medium,2026-09-16T17:43:44Z
Navitor,Abbott,Navitor Titan™;Navitor™,NVRO-23;NVRO-25;NVRO-27;NVRO-29;NVRO-35;NVTR-23;NVTR-25;NVTR-27;NVTR-29;NVTR-LS-LG+,05415067031570;05415067031587;05415067031594;05415067031600;05415067045768;05415067045775;05415067045782;05415067045799;05415067045805;05415067048417,TAVR,TAVR,self-expanding intra-annular TAVR,bovine pericardial,n.a.,unknown,"Portico platform with an outer NaviSeal sealing cuff, FDA approved 2023",23;25;27;29;35,active,P190023,"FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov) ; openFDA PMA lookup: same PMA as Portico (Navitor is a supplement), openFDA-verified 2026-09-16",high,2026-09-16T17:43:44Z
Portico,Abbott,Portico™,PRT-23;PRT-25;PRT-27;PRT-29,05415067010728;05415067012487;05415067012494;05415067012500,TAVR,TAVR,self-expanding intra-annular TAVR,bovine pericardial,n.a.,unknown,"recapturable/repositionable self-expanding TAVR, FDA approved 2021",23;25;27;29,"active (early-generation, largely superseded clinically by Navitor)",P190023,"FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov) ; openFDA PMA lookup: openFDA /device/pma.json trade_name:portico, verified 2026-09-16",high,2026-09-16T17:43:44Z
ACURATE neo,Boston Scientific (Symetis),,,,unknown,TAVR,self-expanding supra-annular TAVR,porcine pericardial,n.a.,unknown,top-down deployment self-expanding TAVR,,discontinued (superseded by ACURATE neo2; not independently re-verified this session),TODO,domain knowledge (industry/regulatory public record); NOT found in this session's GUDID brand-name match -- verify manually at accessgudid.nlm.nih.gov if a DI list is required (FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov)),low,2026-09-16T17:43:44Z
ACURATE neo2,Boston Scientific (Symetis),,,,unknown,TAVR,self-expanding supra-annular TAVR,porcine pericardial,n.a.,unknown,ACURATE neo with an outer sealing skirt,,active,TODO,domain knowledge (industry/regulatory public record); NOT found in this session's GUDID brand-name match -- verify manually at accessgudid.nlm.nih.gov if a DI list is required (FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov)),low,2026-09-16T17:43:44Z
CoreValve,Medtronic,CoreValve™;CoreValve™ Evolut™,CLS-3000-18F-US;CLS-3000-18FR;DCS-C4-18F-23US;DCS-C4-18F-US;DCS-C4-18FR;DCS-C4-18FR-23;MCS-P3-26-AOA;MCS-P3-26-AOA-US;MCS-P3-29-AOA;MCS-P3-29-AOA-US;MCS-P3-31-AOA;MCS-P3-31-AOA-US;MCS-P4-23-AOA;MCS-P4-23-AOA-US,00643169430242;00643169430259;00643169430266;00643169430273;00643169430280;00643169430297;00643169430303;00643169430310;00643169432369;00643169432376;00643169434301;00643169448162;00643169448179;00643169448186;00643169448483;00643169448490;00643169448506;00643169448513;00643169448520;00643169448537;00643169448544;00643169448551;00643169565623;00643169565630,TAVR,TAVR,self-expanding supra-annular TAVR,porcine pericardial,n.a.,unknown,1st-generation self-expanding TAVR,23;26;29;31,"discontinued (superseded by Evolut R, ~2015-2016; year not independently re-verified this session)",P130021,"FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov) ; openFDA PMA lookup: per task brief URL, SSED supplement downloaded 2026-09-16",high,2026-09-16T17:43:44Z
Evolut FX,Medtronic,Evolut™ FX,D-EVOLUTFX-2329;D-EVOLUTFX-34;EVOLUTFX-23;EVOLUTFX-26;EVOLUTFX-29;EVOLUTFX-34;L-EVOLUTFX-2329;L-EVOLUTFX-34,00763000365677;00763000365684;00763000365691;00763000365707;00763000370688;00763000370695;00763000370701;00763000370718;00763000942700;00763000942717;00763000942724;00763000942731,TAVR,TAVR,self-expanding supra-annular TAVR,porcine pericardial,n.a.,unknown,"commissural-alignment-optimized delivery, FDA cleared 2022",23;26;29;34,active,P180029,FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov) ; openFDA PMA lookup: supplement to P180029 (not independently re-verified this session),high,2026-09-16T17:43:44Z
Evolut FX+,Medtronic,Evolut™ FX+,EVFXPLUS-23;EVFXPLUS-26;EVFXPLUS-29;EVFXPLUS-34,00763000716127;00763000716134;00763000716141;00763000716158,TAVR,TAVR,self-expanding supra-annular TAVR,porcine pericardial,n.a.,unknown,newest Evolut delivery-system iteration (present in GUDID; not independently re-verified this session),23;26;29;34,active,P180029,FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov) ; openFDA PMA lookup: supplement to P180029 (not independently re-verified this session),high,2026-09-16T17:43:44Z
Evolut PRO,Medtronic,CoreValve™ Evolut™ PRO;EnVeo™ PRO,ENVPRO-14-US;ENVPRO-16-US;EVOLUTPRO-23-US;EVOLUTPRO-26-US;EVOLUTPRO-29-US;L-ENVPRO-14-US;L-ENVPRO-16-US;L-ENVPRO-1623US,00643169954434;00643169954441;00643169954458;00643169987173;00643169987180;00643169987197;00643169987203;00643169987210;00763000017811;00763000017828;00763000017835,TAVR,TAVR,self-expanding supra-annular TAVR,porcine pericardial,n.a.,unknown,Evolut R + external pericardial wrap for paravalvular leak reduction (GUDID brand 'EnVeo PRO'),23;26;29,active,P180029,"FDA AccessGUDID full release gudid_full_release_20260901.zip (accessgudid.nlm.nih.gov) ; openFDA PMA lookup: openFDA confirms Evolut R/PRO under P180029, SSED downloaded 2026-09-16",high,2026-09-16T17:43:44Z
